Number,Player_Speed,Player_Agility,Player_Stamina,Player_Endurance,Player_Accuracy,Player_Stealth,Player_Recovery_Time,Team_Cohesion,Team_Adaptability,Team_Leadership,Visibility,Weather_Conditions,Number_of_Territories,Territory_Distribution,Time_to_Capture_Territory,Territory_Control_Time,Scoring_Update_Frequency,Power_Up_Frequency,Power_Up_Impact,Penalty_for_Being_Tagged,Risk_Level_of_Territories,Win
1,10,4,9,2,10,8,24,8,1,9,Medium,Rainy,17,Dense,47,3,8,Medium,6,Freeze Time,7,1
2,9,3,9,2,6,5,6,10,2,7,Low,Windy,8,Dense,41,29,7,Medium,4,Freeze Time,7,1
3,1,9,7,5,10,6,26,8,3,10,High,Sunny,19,Spread out,56,5,4,High,3,Point Deduction,8,0
4,7,5,3,1,8,7,16,7,5,5,Medium,Rainy,12,Dense,23,7,5,Low,8,Point Deduction,3,0
5,2,9,4,6,2,9,18,7,9,2,Low,Windy,16,Dense,49,26,2,Medium,2,Point Deduction,10,0
6,2,9,10,2,5,10,29,3,7,6,High,Sunny,5,Dense,48,1,4,Low,2,Point Deduction,10,0
7,3,1,10,8,10,1,15,6,4,3,Medium,Rainy,20,Spread out,41,8,2,High,10,Freeze Time,9,1
8,8,4,5,10,7,3,28,2,1,4,Low,Windy,5,Spread out,60,15,3,High,1,Freeze Time,6,1
9,10,1,9,4,5,10,23,6,6,1,High,Sunny,10,Dense,22,13,5,Medium,8,Freeze Time,3,0
10,7,8,7,1,1,2,20,10,8,3,Medium,Rainy,18,Spread out,33,12,1,Low,2,Point Deduction,3,1
11,7,8,3,5,9,4,25,4,5,8,Low,Windy,14,Dense,35,23,10,Medium,6,Freeze Time,8,0
12,6,3,5,9,8,7,27,5,2,6,High,Sunny,6,Spread out,27,10,8,Low,10,Freeze Time,8,1
13,9,3,10,5,4,6,14,1,10,9,Medium,Rainy,19,Dense,57,12,9,High,1,Point Deduction,2,1
14,9,8,2,5,3,1,17,9,4,2,Low,Windy,15,Spread out,12,12,9,Medium,2,Point Deduction,7,1
15,10,2,3,8,7,9,30,4,3,8,High,Sunny,9,Dense,38,12,9,High,3,Point Deduction,7,1
16,10,6,2,10,8,2,7,7,6,5,Medium,Rainy,11,Spread out,29,1,2,Medium,1,Point Deduction,9,0
17,5,5,2,1,6,8,9,2,9,10,Low,Windy,7,Dense,15,1,6,High,5,Freeze Time,9,0
18,2,4,7,10,9,5,5,8,7,1,High,Sunny,5,Spread out,55,1,9,Low,1,Freeze Time,5,0
19,10,9,5,10,2,7,10,3,5,4,Medium,Rainy,20,Dense,37,6,10,Low,4,Freeze Time,2,1
20,1,7,10,6,2,3,21,5,8,6,High,Sunny,7,Spread out,31,10,6,High,1,Point Deduction,2,0